Lead ID,Lead Source,Lead Date,Funnel Stage,Final Stage,Revenue
1,Google Ads,2025-01-01 00:00:00,Lead,Closed Lost,0.0
2,Referral,2025-01-01 01:00:00,Lead,Lead,0.0
3,Email,2025-01-01 02:00:00,Lead,MQL,0.0
4,Facebook,2025-01-01 03:00:00,Lead,Lead,0.0
5,Google Ads,2025-01-01 04:00:00,Lead,Lead,0.0
6,Google Ads,2025-01-01 05:00:00,Lead,Lead,0.0
7,Google Ads,2025-01-01 06:00:00,Lead,Lead,0.0
8,Organic,2025-01-01 07:00:00,Lead,Lead,0.0
9,Facebook,2025-01-01 08:00:00,Lead,MQL,0.0
10,Email,2025-01-01 09:00:00,Lead,Closed Won,3876.540354094932
11,Google Ads,2025-01-01 10:00:00,Lead,MQL,0.0
12,Referral,2025-01-01 11:00:00,Lead,MQL,0.0
13,Organic,2025-01-01 12:00:00,Lead,MQL,0.0
14,Google Ads,2025-01-01 13:00:00,Lead,Lead,0.0
15,Google Ads,2025-01-01 14:00:00,Lead,Lead,0.0
16,Google Ads,2025-01-01 15:00:00,Lead,Lead,0.0
17,Google Ads,2025-01-01 16:00:00,Lead,MQL,0.0
18,Facebook,2025-01-01 17:00:00,Lead,Lead,0.0
19,Facebook,2025-01-01 18:00:00,Lead,Lead,0.0
20,Google Ads,2025-01-01 19:00:00,Lead,Lead,0.0
21,Facebook,2025-01-01 20:00:00,Lead,MQL,0.0
22,Google Ads,2025-01-01 21:00:00,Lead,MQL,0.0
23,Google Ads,2025-01-01 22:00:00,Lead,MQL,0.0
24,Google Ads,2025-01-01 23:00:00,Lead,SQL,0.0
25,Facebook,2025-01-02 00:00:00,Lead,Lead,0.0
26,Email,2025-01-02 01:00:00,Lead,Lead,0.0
27,Google Ads,2025-01-02 02:00:00,Lead,SQL,0.0
28,Facebook,2025-01-02 03:00:00,Lead,Lead,0.0
29,Facebook,2025-01-02 04:00:00,Lead,Lead,0.0
30,Google Ads,2025-01-02 05:00:00,Lead,Lead,0.0
31,Facebook,2025-01-02 06:00:00,Lead,Lead,0.0
32,Google Ads,2025-01-02 07:00:00,Lead,MQL,0.0
33,Google Ads,2025-01-02 08:00:00,Lead,Lead,0.0
34,Organic,2025-01-02 09:00:00,Lead,MQL,0.0
35,Referral,2025-01-02 10:00:00,Lead,Lead,0.0
36,Organic,2025-01-02 11:00:00,Lead,Closed Lost,0.0
37,Google Ads,2025-01-02 12:00:00,Lead,MQL,0.0
38,Google Ads,2025-01-02 13:00:00,Lead,Lead,0.0
39,Email,2025-01-02 14:00:00,Lead,Lead,0.0
40,Facebook,2025-01-02 15:00:00,Lead,Lead,0.0
41,Google Ads,2025-01-02 16:00:00,Lead,Lead,0.0
42,Facebook,2025-01-02 17:00:00,Lead,Lead,0.0
43,Google Ads,2025-01-02 18:00:00,Lead,Lead,0.0
44,Organic,2025-01-02 19:00:00,Lead,Lead,0.0
45,Google Ads,2025-01-02 20:00:00,Lead,MQL,0.0
